Name,Lat1,Lon1,Lat2,Lon2
"GW_15,HGP15",36.276589,-119.843125,36.248077,-119.732099
"GW_16,HGP16",36.704784,-119.774269,36.669562,-119.820501
"GW_17,HGP17",36.579299,-119.503074,36.61501,-119.460225
"GW_18,HGP18",36.169835,-119.2018,36.164255,-119.258115
"HAR15,GW_15",36.345679,-119.85594,36.276589,-119.843125
"HAR16,GW_16",36.687767,-119.635936,36.704784,-119.774269
"HAR17,GW_17",36.643886,-119.483543,36.579299,-119.503074
"HAR18,GW_18",36.152092,-119.15934,36.169835,-119.2018
"HGP15,A404A",36.248077,-119.732099,36.292647,-119.676232
"HGP15,A404B",36.248077,-119.732099,36.197525,-119.781651
"HGP16,A401",36.669562,-119.820501,36.55257022,-119.74158
"HGP16,U401",36.669562,-119.820501,36.752491,-119.819665
"HGP17,A403",36.61501,-119.460225,36.61914111,-119.32177
"HGP17,U403",36.61501,-119.460225,36.59801,-119.442091
"HGP18,A405",36.164255,-119.258115,36.11682046,-119.192371
"HGP18,R402",36.164255,-119.258115,36.143226,-119.296091
"HGP18,U405",36.164255,-119.258115,36.306776,-119.322785
"HGR15,GW_15",36.23436,-119.837142,36.276589,-119.843125
"HGR16,GW_16",36.708418,-119.799016,36.704784,-119.774269
"HGR17,GW_17",36.579017,-119.416802,36.579299,-119.503074
"HGR18,GW_18",36.150415,-119.216592,36.169835,-119.2018
"HSD401,C59",36.55257022,-119.7325968,36.051739,-119.825585
"HSD403,C59",36.61914111,-119.3127868,36.051739,-119.825585
"HSD404A,C59",36.262137,-119.664505,36.051739,-119.825585
"HSD404B,C59",36.15417,-119.7854,36.051739,-119.825585
"HSD405,C59",36.11682046,-119.1833878,36.051739,-119.825585
"HSD405,R402",36.11682046,-119.1833878,36.143226,-119.296091
"HSR402,R402",35.969395,-119.29305,36.143226,-119.296091
"HSU404AC49,A404A",36.47826,-119.592785,36.292647,-119.676232
"HSU404AC52,A404A",36.355314,-119.751224,36.292647,-119.676232
"HSU404AC56,A404A",36.312885,-119.485222,36.292647,-119.676232
"HSU404AD60,A404A",36.651445,-119.972678,36.292647,-119.676232
"HSU404BN9,A404B",36.177341,-119.833717,36.197525,-119.781651
"HSU405C688,HSR402",36.107749,-119.1833878,35.969395,-119.29305
"HSUR402,R_PIX",36.071045,-119.325802,35.926651,-119.385059
"HU404A,CVPM15AG",36.35917,-119.682129,36.28902669,-119.6807236
"HU404A,CVPM15AS",36.35917,-119.682129,36.28902669,-119.6717404
"HU404B,CVPM15BG",36.187639,-119.756707,36.19390028,-119.7861426
"HU404B,CVPM15BS",36.187639,-119.756707,36.19390028,-119.7771594
"N9,HSU404BN9",36.101574,-119.898746,36.177341,-119.833717
"R402,HSUR402",36.143226,-119.296091,36.071045,-119.325802
"R_PIX,C59",35.926651,-119.385059,36.051739,-119.825585
"HNP403,HXI403",36.59079764,-119.4465826,36.59620697,-119.4465826
"HP403,U403",36.59620697,-119.4375994,36.59801,-119.442091
"HXI403,EXT_CVPM17",36.59620697,-119.4465826,36.59440391,-119.4465826
"INT_CVPM17,WWP403",36.59440391,-119.4375994,36.59079764,-119.442091
"U403,HXI403",36.59801,-119.442091,36.59620697,-119.4465826
"U403,INT_CVPM17",36.59801,-119.442091,36.59440391,-119.4375994
"WWP403,HNP403",36.59079764,-119.442091,36.59079764,-119.4465826
"WWP403,HP403",36.59079764,-119.442091,36.59620697,-119.4375994
"HNP405,HXI405",36.29953652,-119.3272766,36.30496619,-119.3272766
"HP405,U405",36.30496619,-119.3182934,36.306776,-119.322785
"HXI405,EXT_CVPM18",36.30496619,-119.3272766,36.30315634,-119.3272766
"INT_CVPM18,WWP405",36.30315634,-119.3182934,36.29953652,-119.322785
"U405,HXI405",36.306776,-119.322785,36.30496619,-119.3272766
"U405,INT_CVPM18",36.306776,-119.322785,36.30315634,-119.3182934
"WTP405,U405",36.30858577,-119.3160476,36.306776,-119.322785
"WWP405,HNP405",36.29953652,-119.322785,36.29953652,-119.3272766
"WWP405,HP405",36.29953652,-119.322785,36.30496619,-119.3182934
"HNP401,HXI401",36.74529311,-119.8241566,36.75069159,-119.8241566
