Name,Type,Latitude,Longitude
CVPM17S,Agricultural Demand,36.6119307259569,-119.317278423579
HSD403,Junction,36.6191411054759,-119.312786847159
HSU403C53,Junction,36.6101280257247,-119.312786847159
HSU403C76,Junction,36.6101280257247,-119.312786847159
HU403,Junction,36.615536,-119.32177
A405,Junction,36.116820455066,-119.192371
CVPM18G,Agricultural Demand,36.1095633772833,-119.196862576421
CVPM18S,Agricultural Demand,36.1095633772833,-119.187879423579
HSD405,Junction,36.116820455066,-119.183387847159
HSU405C56,Junction,36.1077490030582,-119.183387847159
HSU405C58,Junction,36.1077490030582,-119.183387847159
HSU405C688,Junction,36.1077490030582,-119.183387847159
HU405,Junction,36.113192,-119.192371
C49,Junction,36.851027,-119.564242
C52,Junction,36.38628,-119.785603
C54,Junction,36.652949,-120.180991
C56,Junction,36.371429,-119.099811
C57,Junction,36.074013,-119.089061
C58,Junction,36.074013,-119.089061
C59,Junction,36.051739,-119.825585
C688,Junction,36.171191,-119.059624
C76,Junction,36.622163,-119.305256
C89,Junction,36.371429,-119.099811
D605,Junction,36.865272,-119.803597
D606,Junction,36.825709,-120.016457
GW_15,Groundwater Storage,36.276589,-119.843125
GW_16,Groundwater Storage,36.704784,-119.774269
GW_17,Groundwater Storage,36.579299,-119.503074
GW_18,Groundwater Storage,36.169835,-119.2018
GW_20,Groundwater Storage,35.802107,-119.215148
HAR15,Junction,36.345679,-119.85594
HAR16,Junction,36.687767,-119.635936
HAR17,Junction,36.643886,-119.483543
HAR18,Junction,36.152092,-119.15934
HGP15,Junction,36.248077,-119.732099
HGP16,Junction,36.669562,-119.820501
HGP17,Junction,36.61501,-119.460225
HGP18,Junction,36.164255,-119.258115
HGR15,Junction,36.23436,-119.837142
HGR16,Junction,36.708418,-119.799016
HGR17,Junction,36.579017,-119.416802
HGR18,Junction,36.150415,-119.216592
HSD404A,Junction,36.2621370000001,-119.664505
HSD404B,Junction,36.15417,-119.7854
HSR402,Junction,35.9693949999999,-119.29305
HSU402AD60,Junction,36.600896,-120.274087
HSU404AC49,Junction,36.47826,-119.592785
HSU404AC52,Junction,36.355314,-119.751224
HSU404AC56,Junction,36.312885,-119.485222
HSU404AD60,Junction,36.651445,-119.972678
HSU404BN9,Junction,36.177341,-119.833717
HSUR402,Junction,36.071045,-119.325802
HU404A,Junction,36.35917,-119.682129
HU404B,Junction,36.187639,-119.756707
N9,Junction,36.101574,-119.898746
R402,Junction,36.143226,-119.296091
R_MDT,Non-Standard Demand,36.725933,-120.340183
R_PIX,Non-Standard Demand,35.926651,-119.385059
SR_TL,Surface Storage,36.079387,-119.723121
EXT_CVPM17,Urban Demand,36.5944039066815,-119.446582576421
HNP403,Junction,36.5907976448333,-119.446582576421
HP403,Junction,36.5962069744074,-119.437599423579
HXI403,Junction,36.5962069744074,-119.446582576421
INT_CVPM17,Urban Demand,36.5944039066815,-119.437599423579
U403,Junction,36.59801,-119.442091
WWP403,Water Treatment,36.5907976448333,-119.442091
EXT_CVPM18,Urban Demand,36.3031563420234,-119.327276576421
HNP405,Junction,36.2995365160435,-119.327276576421
HP405,Junction,36.3049661920125,-119.318293423579
HXI405,Junction,36.3049661920125,-119.327276576421
INT_CVPM18,Urban Demand,36.3031563420234,-119.318293423579
U405,Junction,36.306776,-119.322785
WTP405,Water Treatment,36.308585765985,-119.316047635369
WWP405,Water Treatment,36.2995365160435,-119.322785
